,标题,原文链接
514,河南科技大学电子商务研究院项目中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1198772&channelCode=H600102
516,河南工业和信息化职业学院物业服务项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1199412&channelCode=H600102
517,黄淮学院2022018—采购2022—2023学年度师生教材（货物）-中标公告,http://zhumadian.hngp.gov.cn/zhumadian/content?infoId=1198153&channelCode=H780602
523,焦作师范高等专科学校学前教育专业实训室建设项目-中标公告,http://jiaozuo.hngp.gov.cn/jiaozuo/content?infoId=1195937&channelCode=H690202
526,河南工业职业技术学院智慧融合云管理平台（一期）项目中标结果公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1196596&channelCode=H600102
528,河南交通职业技术学院公路学院基础实训室条件提升建设项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1195820&channelCode=H600102
534,临颍县第一高级中学临颍一高护眼灯更换项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1194141&channelCode=H720202
535,河南工业贸易职业学院音乐表演综合实训室项目 中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1194992&channelCode=H600102
536,【平公资采2022619号】平顶山职业技术学院物业服务-中标公告,http://pingdingshan.hngp.gov.cn/pingdingshan/content?infoId=1193150&channelCode=H650202
540,河南警察学院纸质图书采购项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1193143&channelCode=H600102
541,郑州市第二初级中学计算机教室项目中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1192069&channelCode=D250202
544,河南推拿职业学院针灸推拿虚拟仿真实训室建设项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1192545&channelCode=H600102
545,黄河水利职业技术学院电子商务专业群资源库建设项目包B、包C-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1191477&channelCode=H600102
546,2022年精品课在线开放课程视频资源制作中标（成交）结果公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1191612&channelCode=H670204
547,叶县中等专业学校搬迁项目办公家具采购项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1192377&channelCode=D490202
553,新乡学院2022-2024学年教材采购项目-中标公告,http://xinxiang.hngp.gov.cn/xinxiang/content?infoId=1189631&channelCode=H680204
554,郑州大学信息化办公室2022年度多媒体教室运维服务外包项目结果公示,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1189493&channelCode=H600104
555,河南艺术职业学院2021年河南全民技能振兴工程省级高技能人才培养示范基地项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1189196&channelCode=H600102
558,巩义市第一中等专业学校新能源汽车虚拟仿真实训基地建设项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1187723&channelCode=D310202
559,河南应用技术职业学院2022年物业综合服务（郑州校区、开封校区）招标项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1188687&channelCode=H600102
560,郑州市第四十七高级中学郑州市第四十七中学高中部东校区学生课桌椅及书包柜多媒体讲桌等（高三年级）项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1188198&channelCode=H610102
562,新乡市牧野区新飞大道小学智慧教室、智慧黑板购置项目结果公告,http://xinxiang.hngp.gov.cn/xinxiang/content?infoId=1187064&channelCode=H680202
567,焦作师范高等专科学校应用电子技术教育专业实验实训室建设项目-中标公告,http://jiaozuo.hngp.gov.cn/jiaozuo/content?infoId=1186091&channelCode=H690202
572,河南交通职业技术学院道路工程试验检测实训基地项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1185566&channelCode=H600102
575,新乡市牧野区北干道小学计算机教室电脑、网络设备、智慧黑板、课桌凳、美术教室、科学教室建设项目结果公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1184634&channelCode=H680202
576,河南城建学院计算机与数据科学学院机房升级改造项目磋商结果公示,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1185065&channelCode=H600104
577,武陟县第一中学新增教室交互式电子黑板采购项目中标结果公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1184916&channelCode=D240204
582,辉县市第一高级中学教学区、办公区保洁项目 结果公告,http://xinxiang.hngp.gov.cn/xinxiang/content?infoId=1182021&channelCode=H680202
583,巩义市第二高级中学学生教室与实验室设备能力提升项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1181464&channelCode=D310202
586,河南理工大学多媒体设备更新项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1180033&channelCode=H600102
590,郑州信息科技职业学院物联网综合创新实训室建设项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1179468&channelCode=H600102
599,河南护理职业学院心理实验室建设项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1178294&channelCode=H600102
604,新乡学院发酵与酿造校内实训平台项目中标结果公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1174662&channelCode=H680202
607,河南省经济管理学校筹建河南粮食科技职业学院专业实训室建设项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1175064&channelCode=H600102
609,郑州市第五十七中学交互智能黑板项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1172968&channelCode=D250202
610,河南工业和信息化职业学院基于监控的云机房建设项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1173353&channelCode=H600102
612,河南检察职业学院培训后勤保障劳务外包项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1173067&channelCode=H600102
613,新乡市第四十一中学云机房、智慧黑板采购项目结果公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1173824&channelCode=H680202
617,临颍县第一高级中学临颍一高护眼灯更换项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1190860\u0026channelCode=H720201
618,卫辉市第一中学智慧云教室采购及附属设施建设项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1172159&channelCode=D530202
621,洛阳市第一高级中学育田数理探索馆项目中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1171057&channelCode=H640104
628,许昌学院鲲鹏产业学院实训室项目（一期）项目-中标公告,http://www.hngp.gov.cn/webfile/henan/cgxx/jggg/webinfo/2022/06/24/1169268.htm
630,许昌学院鲲鹏产业学院实训室项目（一期）项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1169268&channelCode=H600102
633,河南财政金融学院公共机房电脑升级改造项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1167131&channelCode=H600102
635,黄河水利职业技术学院电子商务专业群资源库建设项目包A-中标公告,http://www.hngp.gov.cn/webfile/henan/cgxx/jggg/webinfo/2022/06/22/1166457.htm
636,河南医学高等专科学校2022-2023年1、2学期教材采购项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1166621&channelCode=H600104
639,黄河水利职业技术学院电子商务专业群资源库建设项目包A-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1166457&channelCode=H600102
644,三门峡职业技术学院建筑工程学院力学与结构协同创新研究中心建设项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1161368&channelCode=H730202
646,林州市政北中学西广场北端、综合楼北边场地改造及教室楼东侧地埋污水管项目结果公示,http://anyang.hngp.gov.cn/anyang/content?infoId=1159946&channelCode=H660204
648,郑州信息科技职业学院学前教育多元教学专业实训室项目-中标公告,http://www.hngp.gov.cn/webfile/henan/cgxx/jggg/webinfo/2022/06/15/1158618.htm
649,郑州信息科技职业学院学前教育多元教学专业实训室项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1158618&channelCode=H600102
650,ZFCG-G2022039号许昌电气职业学院“许昌电气职业学院技能培训认定资格考试教室项目(不见面开标)”中标结果公告,http://www.hngp.gov.cn/webfile/xuchang/cgxx/jggg/webinfo/2022/06/1156067.htm
653,河南工业和信息化职业学院《数控车铣加工》“1+X”证书培训实训室建设项目结果公告,http://www.hngp.gov.cn/webfile/henan/cgxx/jggg/webinfo/2022/06/10/1155234.htm
654,开封市卫生学校信息化教学提升、护理实训基地建设二期、多媒体教室建设工程-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1177622\u0026channelCode=H600106
655,河南工业和信息化职业学院《数控车铣加工》“1+X”证书培训实训室建设项目结果公告,http://www.hngp.gov.cn/henan/content?infoId=1155234&channelCode=H600102
658,新乡县七里营镇康庄学校教室内外墙粉涂、屋顶治漏、教室线路改造工程结果公告,http://xinxiang.hngp.gov.cn/xinxiang/content?infoId=1153516&channelCode=H680204
659,河南工业和信息化职业学院无人机应用技术综合实训室建设项目结果公告,http://www.hngp.gov.cn/henan/content?infoId=1153720&channelCode=H600102
661,获嘉县职业中等专业学校双高三期项目-中标公告,http://xinxiang.hngp.gov.cn/xinxiang/content?infoId=1152564&channelCode=H680202
662,"河南工业和信息化职业学院""1+X""背景下建筑实训室提升改造项目-中标公告",http://www.hngp.gov.cn/webfile/henan/cgxx/jggg/webinfo/2022/06/08/1152158.htm
664,"河南工业和信息化职业学院""1+X""背景下建筑实训室提升改造项目-中标公告",http://www.hngp.gov.cn/henan/content?infoId=1152158&channelCode=H600102
